field_id,severity,severity_label,infection_percentage,field_size,confidence,spray_recommended,treatment_type,recommendation,spray_cost_per_acre,total_spray_cost,potential_damage,damage_prevented,net_benefit,roi,treatment_effectiveness,source
REAL_FIELD_0000,2,Moderate,39.89725666053424,27.8860019716915,0.8330952284589679,True,moderate,Enhanced moderate treatment,7.5,209.14501478768625,556.2874889503698,393.92438479157784,184.7793700038916,88.34988019746515,85.0,real_agricultural_data
REAL_FIELD_0001,3,Severe,51.861379625760904,11.062288634455841,0.8961015428117022,True,intensive,Intensive treatment URGENT,12.0,132.7474636134701,573.7055504012546,503.81646025751695,371.0689966440468,279.53000874239973,98.0,real_agricultural_data
REAL_FIELD_0002,3,Severe,48.651945102177685,12.105958449289098,0.9432529644288181,True,intensive,Intensive treatment URGENT,12.0,145.27150139146917,588.9784258840573,544.4445332757608,399.1730318842916,274.7772467833339,98.0,real_agricultural_data
REAL_FIELD_0003,3,Severe,56.21122176603122,37.4139963506486,0.9027856776658325,True,intensive,Intensive treatment URGENT,12.0,448.96795620778323,2103.0864460197918,1860.6635959126088,1411.6956397048257,314.4312684648457,98.0,real_agricultural_data
REAL_FIELD_0004,3,Severe,60.17502815982368,42.77578828273032,0.922691246714345,True,intensive,Intensive treatment URGENT,12.0,513.3094593927638,2574.034264471953,2327.5381068796473,1814.2286474868836,353.4376026565115,98.0,real_agricultural_data
REAL_FIELD_0005,3,Severe,60.369871480330744,26.319478983611962,0.9144828313377226,True,intensive,Intensive treatment URGENT,12.0,315.83374780334356,1588.90356366992,1423.9645290349165,1108.1307812315729,350.8588898237561,98.0,real_agricultural_data
REAL_FIELD_0006,3,Severe,47.995015368111936,32.38711349503525,0.8907148291895968,True,intensive,Intensive treatment URGENT,12.0,388.645361940423,1554.4200099230025,1356.8540545549092,968.2086926144862,249.1239539770725,98.0,real_agricultural_data
REAL_FIELD_0007,3,Severe,70.92889514002955,7.576209687994552,0.8602868443012178,True,intensive,Intensive treatment URGENT,12.0,90.91451625593463,537.3721825186417,453.04833473193594,362.1338184760013,398.3234288532688,98.0,real_agricultural_data
REAL_FIELD_0008,1,Mild,13.738132732052698,35.98174103927025,0.7091031317664437,True,light,Light treatment recommended,3.5,125.93609363744586,123.58048358196062,61.341915553225896,-64.59417808421998,-51.29123527539171,70.0,real_agricultural_data
REAL_FIELD_0009,3,Severe,43.94275250009107,19.15822983857035,0.8699811531132768,True,intensive,Intensive treatment URGENT,12.0,229.8987580628442,841.8653521361566,717.7588500211778,487.86009195833356,212.20649300983786,98.0,real_agricultural_data
REAL_FIELD_0010,3,Severe,51.936672436679814,43.41322301219216,0.882173851342465,True,intensive,Intensive treatment URGENT,12.0,520.958676146306,2254.7383430047544,1949.2897836616712,1428.3311075153651,274.1735905199193,98.0,real_agricultural_data
REAL_FIELD_0011,3,Severe,66.8483878415663,13.591448049188491,0.8569510549369658,True,intensive,Intensive treatment URGENT,12.0,163.0973765902619,908.566390520652,763.0249883002051,599.9276117099432,367.83400460026974,98.0,real_agricultural_data
REAL_FIELD_0012,2,Moderate,39.20258516411773,43.391929749233654,0.8269535513164445,True,moderate,Enhanced moderate treatment,7.5,325.4394731192524,850.5379107148729,597.8520439256931,272.4125708064407,83.70606312609756,85.0,real_agricultural_data
REAL_FIELD_0013,3,Severe,50.365452635253696,28.201819747276286,0.9195319871049722,True,intensive,Intensive treatment URGENT,12.0,338.4218369673154,1420.3974167094061,1279.978841884258,941.5570049169426,278.2199320689455,98.0,real_agricultural_data
